item_nr	item	category	action
1	My patient(s) were informed about the potential consequences of unexpected or incidental ﬁndings	Intention of the test and patient Information	confirm
2	Opt-out: My patient(s) do NOT wish to be informed about unexpected and/or incidental findings	Intention of the test and patient Information	confirm
3	Test purpose (Why is this test performed): 	Intention of the test and patient Information	info
4	Disease specifics	Intention of the test and patient Information	info
4.1	Pathological diagnosis	Intention of the test and patient Information	info
4.2	Disease stage	Intention of the test and patient Information	info
4.3	Burden of disease	Intention of the test and patient Information	info
4.4	Disease status	Intention of the test and patient Information	info
4.5	Previous and current oncological treatment	Intention of the test and patient Information	info
4.6	Previously diagnosed malignancies	Intention of the test and patient Information	info
4.7	Conﬁrmed tumor predisposition	Intention of the test and patient Information	info
4.8	Mutations from previous tissue or liquid proﬁling	Intention of the test and patient Information	info
4.9	Previously identiﬁed CH (clonal hematopoiesis)-related variants	Intention of the test and patient Information	info
5	Other relevant available clinical information	Intention of the test and patient Information	info
6	Sample QC 	Technical aspects – cfDNA sample	info
6.1	Macroscopic abnormalities (e.g. hemolysis)	Technical aspects – cfDNA sample	info
6.2	Cell-free DNA isolation method	Technical aspects – cfDNA sample	info
6.3	DNA input (low?)	Technical aspects – cfDNA sample	info
6.3	Contamination with high molecular weight DNA	Technical aspects – cfDNA sample	info
6.4	Any sample QC not meeting criteria?	Technical aspects – cfDNA sample	flag
7	Downstream Test QC	Technical aspects – downstream test	info
7.1	Type of planned downstream assay	Technical aspects – downstream test	info
7.2	LOD (limit of detection)	Technical aspects – downstream test	info
7.3	LOB (limit of blank)	Technical aspects – downstream test	info
7.4	LOQ (limit of quantiﬁcation)	Technical aspects – downstream test	info
7.5	analytical sensitivity	Technical aspects – downstream test	info
7.6	analytical speciﬁcity	Technical aspects – downstream test	info
7.7	Sequencing: percentage of target region covered with the minimum required depth	Technical aspects – downstream test	info
7.8	Sequencing: average sequencing depth	Technical aspects – downstream test	info
7.9	Any downstream QC not meeting criteria?	Technical aspects – downstream test	flag
8	Variant QC 	Technical aspects – downstream test	info
8.1	Confirm: this report excludes variants with variant allele fraction (VAF) below or equal to the LOB.	Technical aspects – downstream test	confirm
8.2	Confirm: variants with VAF between LOB and LOD will be labeled ‘equivocal’ – their presence is uncertain	Technical aspects – downstream test	confirm
8.3	Recommendation for equivocal variants: (option corresponding tissue testing and/or liquid re-biopsy)	Technical aspects – downstream test	action
9	Variant Report Option	Downstream test results	info
9.1	Pathogenic and likely pathogenic variants (incl. number of supporting reads, sequencing depth, VAF, number of mutated molecules, conﬁdence level)	Downstream test results	info
9.2	Variants in cancer susceptibility genes with VAF indicating germline origin (incl. number of supporting reads, sequencing depth, VAF, number of mutated molecules, conﬁdence level)	Downstream test results	info
9.3	Potential CH-related variants  (incl. number of supporting reads, sequencing depth, VAF, number of mutated molecules, conﬁdence level)	Downstream test results	info
9.4	Recommendation for putative germline variants: (option  genetic counselling and/or germline testing)	Downstream test results	action
9.5	SCNA & fusions (LOD for SCNA and fusions may be lower compared to SNVs/indels; detection requires a higher tumor fraction)	Downstream test results	flag
9.6	SCNA (estimated copy number or log2 ratio, conﬁdence level, potentially co-ampliﬁed genes and estimated size of the ampliﬁed/deleted segment)	Downstream test results	info
9.7	Negative results ( Tumor fraction – Not detected or Requested mutation is not detected)	Downstream test results	flag
9.8	Disclaimer – the presence of mutations below the LOD cannot be excluded.	Downstream test results	confirm
10	Unexpected findings	Unexpected findings	flag
10.1	Explanation why the ﬁndings were unexpected	Unexpected findings	info
10.2	Recommendation for referral to a Molecular Tumor Board for discussion.	Unexpected findings	confirm
11	Clinically actionable results and evidence-based associations with response to speciﬁc drugs	Actionability	info
11.1	Disclaimer:The actual clinical annotation for matching a treatment to a speciﬁc variant for each individual patients should only be done by the treating physician or a Molecular Tumor Board (MTB).	Actionability	confirm
